3542_Spar|RPL21A
2172_Ncra|BNA5
3097_Smik|SIT1
6665_Scer|ISD11
4459_Scer|ABP1
2296_Ctro|NBL1
9143_Clus|YOR365C
1270_Ctro|TSR1
2928_Ylip|SEC4
5047_Spar|YOL019W
932_Calb|ZCF38
3991_Scas|HXT3
630_Spom|DOA1
2220_Smik|ELO1
196_Sklu|RPL6
7875_Scer|SPC3
6922_Spar|ZPS1
5068_Cgui|YOL019W
5952_Scer|MATALPHA2
7896_Scer|FYV7
6956_Scer|ORM1
2776_Scer|YPR063C
5926_Smik|PML1
2659_Cgla|MDH3
8586_Agos|REV3
6340_Spar|IGD1
8396_Scer|AIM25
4052_Sklu|HXT3
6235_Spar|YMR317W
5217_Ncra|TOM40
4681_Ncra|MET6
4785_Anid|BIO5
7352_Cgui|ESS1
5095_Agos|LEU1
4534_Lelo|PAU10
1582_Lelo|PCL2
7675_Scer|QDR3
2363_Scer|PAU17
2289_Clus|NBL1
2961_Smik|MET32
4789_Sjap|BIO5
2013_Agos|PHO85
996_Sjap|RPL16A
559_Anid|AGE1
459_Scas|LPG20
3362_Ncra|ATG21
797_Spar|SER33
3671_Scer|YFR045W
3692_Spar|HTA2
8635_Scer|GAL2
6451_Scer|MAS1
5657_Lelo|ADH2
59_Smik|TPS3
8803_Sklu|GAL2
6813_Scer|TRX1
876_Smik|RPS4A
4077_Soct|HXT3
6497_Smik|ERP4
8150_Lelo|GGC1
8454_Scer|ENA2
8175_Sbay|MGA1
1559_Sbay|PCL2
621_Calb|DOA1
3652_Scer|GTT2
2154_Scer|BNA5
1293_Ctro|RPS24
3529_Agos|COX19
5288_Sbay|STP1
8743_Scas|GAL2
6213_Lelo|ATG11
7164_Smik|STH1
4544_Spar|HMLALPHA2
6820_Cgla|TRX1
2338_Soct|REG1
9011_Ylip|YDL206W
2601_Soct|CTK1
4662_Scer|MET6
5600_Spar|ADH2
7385_Scas|SER3
5922_Scer|PML1
5900_Scas|FUN19
329_Ylip|LIP8
5753_Agos|EDS1
2554_Cpar|ARG81
7648_Spar|RPH1
2778_Smik|YPR063C
6928_Sklu|ZPS1
4787_Ncra|BIO5
9109_Soct|RPS30A
5227_Smik|HMLALPHA1
9214_Scer|IES5
909_Scer|ZCF38
1790_Calb|PGA18
1787_Dhan|PGA18
3852_Scer|HSP82
5630_Klac|ADH2
8135_Agos|GGC1
5589_Ncra|SPG5
2388_Sbay|RNH203
7441_Sbay|BNR1
831_Agos|GAT1
3013_Calb|MAC1
8619_Anid|YBL055C
5864_Sbay|RHB1
7624_Lelo|PPH22
7760_Scer|HUA1
7376_Scer|SER3
8009_Smik|PRB1
4579_Scer|CLP1
5610_Sbay|ADH2
70_Kwal|TPS3
4752_Calb|BIO5
8395_Scer|YOR268C
4187_Sjap|HMS2
7111_Scer|HNT1
3361_Anid|ATG21
1386_Calb|FBA1
3118_Klac|SIT1
6230_Spar|YMR317W
2093_Ylip|TAF1
9272_Smik|FPS1
8719_Cgla|GAL2
6122_Scer|ENV10
7645_Scer|RPH1
7328_Smik|MATALPHA1
5387_Smik|UBP15
7327_Spar|MATALPHA1
532_Clus|AGE1
8237_Scer|ORC1
1750_Calb|RPL14
7203_Scer|MAM3
8005_Scer|PRB1
808_Agos|SER33
3999_Scas|HXT3
1045_Ncra|TRY3
4621_Dhan|PHD1
7590_Scas|PPH22
9356_Smik|YFL054C
6927_Klac|ZPS1
4478_Lelo|ABP1
2402_Sbay|SUR7
2648_Sjap|ART10
5945_Anid|PML1
8797_Sklu|GAL2
7269_Scer|ATP6
5044_Scer|YOL019W
3548_Scas|RPL21A
1050_Spar|KTI12
7649_Smik|RPH1
1957_Spar|RPL37B
9287_Ylip|FPS1
467_Sklu|LPG20
8319_Clus|ORT1
3616_Sklu|SBH2
9088_Scer|RPS30A
2386_Scer|RNH203
2969_Klac|MET32
3061_Cgla|YBR056W-A
250_Calb|RPS5
2798_Sbay|OXA1
1227_Ncra|DAC1
3645_Lelo|SGS1
2756_Scer|EFB1
870_Spom|RPS23A
6650_Scer|SVS1
9387_Smik|HTB2
1114_Sjap|ARP1
5654_Cpar|ADH2
2685_Ylip|MDH3
9310_Ylip|TMA17
2737_Scas|MIP6
42_Calb|HOM3
7958_Ncra|YAT1
2474_Scer|UBX2
6396_Kwal|IGD1
7324_Scer|MATALPHA1
736_Cpar|TES1
8682_Smik|GAL2
2431_Scer|EMG1
1123_Agos|RPL39
2508_Cpar|ACO1
7063_Ylip|IDP3
2895_Scer|SEC4
849_Cgla|RPS23A
9037_Anid|ABZ2
9384_Scer|HTB2
892_Ctro|RPS4A
5931_Scas|PML1
8724_Cgla|GAL2
4506_Lelo|DAS1
5801_Scer|ZAP1
3661_Lelo|GTT2
4069_Agos|HXT3
3614_Kwal|SBH2
7027_Scer|IDP3
3675_Cgla|YFR045W
3136_Scer|PUS2
7340_Scer|ESS1
5988_Sklu|BPL1
2270_Smik|NBL1
5414_Sbay|POT1
306_Ylip|SHM2
4114_Scer|HMS2
3472_Smik|PHO88
2576_Sjap|MEC1
2253_Ylip|ELO1
5863_Smik|RHB1
1985_Lelo|RPL37B
7857_Klac|GPM1
7288_Agos|VTC3
6286_Scas|YMR317W
76_Agos|TPS3
5555_Scas|YOR338W
7360_Ncra|ESS1
8368_Anid|GIM4
5862_Spar|RHB1
7008_Cgla|AIM24
3964_Sbay|HXT3
2450_Anid|EMG1
45_Ylip|HOM3
3519_Ncra|ADE6
1162_Agos|DLH1
5618_Scas|ADH2
4995_Anid|INO4
3065_Klac|YBR056W-A
5249_Clus|CAF130
989_Calb|RPL16A
1472_Sbay|RPS6A
3798_Scer|SPG4
9101_Lelo|RPS30A
914_Smik|ZCF38
1418_Soct|AMO2
1889_Anid|SEC24
9017_Scer|YJL043W
8717_Sbay|GAL2
4315_Ncra|CRD1
8200_Agos|MGA1
2512_Ncra|ACO1
8425_Clus|ENA5
2596_Ylip|CTK1
7687_Klac|QDR3
4238_Scer|PDR17
2729_Spar|MIP6
3110_Kwal|SIT1
9133_Scas|YOR365C
6725_Scer|TSC10
1090_Ncra|SHP1
4119_Spar|HMS2
6642_Anid|YML131W
894_Calb|RPS4A
8171_Smik|MGA1
6624_Clus|YML131W
5934_Klac|PML1
8814_Agos|GAL2
7382_Sbay|SER3
4867_Ctro|ALG3
7492_Clus|VPS71
6398_Kwal|IGD1
6097_Agos|HSL1
4912_Sjap|ALG3
439_Calb|RPL20B
6430_Scer|YMR074C
3215_Agos|YHL017W
4432_Spar|GRX3
2623_Anid|DCD1
1888_Ylip|SEC24
7130_Ncra|HNT1
1850_Klac|RPS19A
8223_Cpar|MGA1
2946_Agos|YCR075W-A
655_Spom|GRP1
6554_Scer|SCT1
5097_Dhan|LEU1
5088_Smik|LEU1
6625_Clus|YML131W
6628_Cgui|YML131W
5735_Sbay|EDS1
2475_Spar|UBX2
1381_Agos|FBA1
6289_Kwal|YMR317W
384_Calb|RPP2B
1725_Scas|HHO1
8761_Kwal|GAL2
7325_Scer|MATALPHA1
1294_Calb|RPS24
7326_Spar|MATALPHA1
3057_Scer|YBR056W-A
6789_Scer|AIM34
9351_Scer|YFL054C
2676_Cgui|MDH3
5891_Scer|FUN19
5569_Anid|YOR338W
2548_Agos|ARG81
3490_Ncra|PHO88
5643_Clus|ADH2
3470_Scer|PHO88
5060_Agos|YOL019W
2249_Cpar|ELO1
5385_Scer|UBP15
7947_Agos|YAT1
9295_Smik|TMA17
6446_Anid|YMR074C
4224_Scer|SIP4
4435_Sbay|GRX3
